scenario,round,strategy,lr,local_epochs,test_mape,test_rmse,test_mae,test_mpe,test_nrmse,test_r2,val_mape,val_rmse,val_mae,val_r2,seed
B_FedAvg,35,size_only,0.0005,20,0.48738453,1395896.6,1002345.4,0.14595443,0.15658884,0.5414859056472778,0.39520878,1850172.1,1105314.9,0.46209096908569336,42
B_FedAvg,36,size_only,0.0005,20,0.4891039,1395881.0,995681.4,0.16660641,0.15658708,0.5414961576461792,0.39854681,1791405.6,1075688.9,0.49571919441223145,42
B_FedAvg,37,size_only,0.0005,20,0.50885314,1419219.1,1018806.06,0.16411929,0.15920511,0.5260362923145294,0.38442108,1799773.2,1073044.9,0.4909971356391907,42
B_FedAvg,38,size_only,0.0005,20,0.4855071,1416916.6,999022.4,0.15417431,0.15894681,0.527572900056839,0.3957007,1857321.6,1115594.0,0.4579256772994995,42
B_FedAvg,39,size_only,0.0005,20,0.51706624,1404366.5,1022609.25,0.18883134,0.15753897,0.535904735326767,0.39612132,1861707.2,1111222.2,0.4553626775741577,42
B_FedAvg,40,size_only,0.0005,20,0.51506394,1401830.4,1018545.1,0.18514559,0.15725447,0.5375794172286987,0.39488202,1846950.2,1111378.8,0.46396273374557495,42
B_FedAvg,41,size_only,0.0005,20,0.55551714,1427519.0,1038222.75,0.2184701,0.16013616,0.5204764604568481,0.3974685,1858812.5,1112953.8,0.45705509185791016,42
B_FedAvg,42,size_only,0.0005,20,0.52543336,1418671.6,1026079.06,0.18995064,0.15914369,0.5264018476009369,0.4129355,1879570.8,1149107.5,0.4448607563972473,42
B_FedAvg,43,size_only,0.0005,20,0.5337132,1426237.5,1027527.06,0.21055003,0.15999241,0.5213369429111481,0.42058042,1858538.1,1136416.6,0.4572153687477112,42
B_FedAvg,44,size_only,0.0005,20,0.5221606,1431900.6,1033899.75,0.18154864,0.1606277,0.5175281763076782,0.41349053,1858725.9,1125115.4,0.45710569620132446,42
B_FedAvg,45,size_only,0.0005,20,0.5123981,1411220.2,1025906.4,0.18832299,0.1583078,0.531363844871521,0.42322347,1845981.4,1132081.0,0.4645249843597412,42
B_FedAvg,46,size_only,0.0005,20,0.5398243,1453296.0,1053331.4,0.19989444,0.16302778,0.5030023157596588,0.41382924,1877398.2,1141412.5,0.44614332914352417,42
B_FedAvg,47,size_only,0.0005,20,0.5354857,1461695.9,1047762.3,0.20139486,0.16397007,0.4972405433654785,0.41869923,1872722.8,1138401.8,0.4488985538482666,42
C_MAS_FL_LLM,1,size_only,0.0005,20,0.99997,3595261.2,2945745.8,-0.99997,0.40330908,-2.041635036468506,0.9999809,3907211.8,2983858.0,-1.398935079574585,42
C_MAS_FL_LLM,2,size_only,0.0005,20,0.99984074,3594269.8,2945114.2,-0.99984074,0.40319785,-2.0399577617645264,0.99989915,3906189.8,2983356.0,-1.3976805210113525,42
